"Name","Location","Function Signature","Function Size"
"FUN_00809a59","00809a59","undefined FUN_00809a59(undefined4 param_1\, undefined4 param_2)","1146"
"FUN_00809ed3","00809ed3","undefined FUN_00809ed3(undefined4 param_1)","525"
"FUN_0080a0e0","0080a0e0","undefined FUN_0080a0e0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","487"
"FUN_0080a2c7","0080a2c7","undefined FUN_0080a2c7(undefined4 param_1\, undefined4 param_2)","30"
"FUN_0080a2e5","0080a2e5","undefined FUN_0080a2e5(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","235"
"FUN_0080a3b7","0080a3b7","undefined FUN_0080a3b7()","8"
"FUN_0080a3e1","0080a3e1","undefined FUN_0080a3e1(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","115"
"FUN_0080a454","0080a454","undefined FUN_0080a454(undefined4 param_1\, undefined4 param_2)","185"
"FUN_0080a50d","0080a50d","undefined FUN_0080a50d()","49"
"FUN_0080a53e","0080a53e","undefined FUN_0080a53e(undefined4 param_1\, undefined4 param_2)","252"
"FID_conflict:__dtest","0080a63a","short FID_conflict:__dtest(double * param_1)","98"
"FUN_0080a69c","0080a69c","undefined FUN_0080a69c(undefined4 param_1\, undefined4 param_2)","202"
"FID_conflict:__fdtest","0080a766","short FID_conflict:__fdtest(float * param_1)","76"
"FUN_0080a7b2","0080a7b2","void FUN_0080a7b2(uint param_1)","131"
"FUN_0080a835","0080a835","undefined FUN_0080a835()","9"
"FUN_0080a83e","0080a83e","undefined FUN_0080a83e()","9"
"__Dunscale","0080a847","short __Dunscale(short * param_1\, double * param_2)","148"
"__FDunscale","0080a8db","short __FDunscale(short * param_1\, float * param_2)","133"
"FUN_0080a960","0080a960","undefined FUN_0080a960()","9"
"_wcscat_s","0080a969","errno_t _wcscat_s(wchar_t * _Dst\, rsize_t _SizeInWords\, wchar_t * _Src)","108"
"_wcscpy_s","0080a9d5","errno_t _wcscpy_s(wchar_t * _Dst\, rsize_t _SizeInWords\, wchar_t * _Src)","92"
"_wcslen","0080aa31","size_t _wcslen(wchar_t * _Str)","25"
"_wcsncat_s","0080aa4a","errno_t _wcsncat_s(wchar_t * _Dst\, rsize_t _SizeInWords\, wchar_t * _Src\, rsize_t _MaxCount)","206"
"FUN_0080ab18","0080ab18","undefined FUN_0080ab18(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","284"
"FUN_0080ac34","0080ac34","undefined FUN_0080ac34(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","49"
"FUN_0080ac65","0080ac65","undefined FUN_0080ac65(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","41"
"FUN_0080ac8e","0080ac8e","undefined FUN_0080ac8e(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","42"
"FUN_0080acb8","0080acb8","undefined FUN_0080acb8(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","27"
"FUN_0080acd3","0080acd3","undefined FUN_0080acd3(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","24"
"FUN_0080aceb","0080aceb","undefined FUN_0080aceb(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","243"
"_setvbuf","0080adde","int _setvbuf(FILE * _File\, char * _Buf\, int _Mode\, size_t _Size)","248"
"FUN_0080aedc","0080aedc","undefined FUN_0080aedc()","8"
"FUN_0080aee4","0080aee4","undefined FUN_0080aee4(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined1 param_4)","26"
"FUN_0080aefe","0080aefe","undefined FUN_0080aefe(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","25"
"FUN_0080af17","0080af17","undefined FUN_0080af17(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined1 param_4)","26"
"FUN_0080af31","0080af31","undefined FUN_0080af31(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined1 param_4)","26"
"FUN_0080af4b","0080af4b","undefined FUN_0080af4b(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","134"
"FUN_0080afd7","0080afd7","undefined FUN_0080afd7()","8"
"FUN_0080afdf","0080afdf","undefined FUN_0080afdf(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","25"
"FUN_0080b001","0080b001","undefined FUN_0080b001()","13"
"FUN_0080b017","0080b017","undefined FUN_0080b017(undefined4 param_1)","28"
"FUN_0080b0d8","0080b0d8","undefined FUN_0080b0d8(undefined4 param_1)","421"
"FUN_0080b259","0080b259","undefined FUN_0080b259()","13"
"FUN_0080b293","0080b293","undefined FUN_0080b293(undefined4 param_1\, undefined4 param_2)","58"
"FUN_0080b524","0080b524","undefined FUN_0080b524(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","486"
"FUN_0080b70a","0080b70a","undefined FUN_0080b70a(undefined4 param_1)","30"
"__aulldvrm","0080b730","undefined __aulldvrm(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","149"
"___ascii_strnicmp","0080b7d0","int ___ascii_strnicmp(char * _Str1\, char * _Str2\, size_t _MaxCount)","97"
"FUN_0080b831","0080b831","undefined FUN_0080b831(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9)","516"
"___strncnt","0080ba35","undefined ___strncnt(undefined4 param_1\, undefined4 param_2)","32"
"FUN_0080ba55","0080ba55","undefined FUN_0080ba55(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9)","70"
"_strcpy_s","0080ba9b","errno_t _strcpy_s(char * _Dst\, rsize_t _SizeInBytes\, char * _Src)","85"
"_strnlen","0080baf0","size_t _strnlen(char * _Str\, size_t _MaxCount)","27"
"FUN_0080bb0b","0080bb0b","undefined FUN_0080bb0b(undefined4 param_1\, undefined4 param_2)","177"
"FUN_0080bbbc","0080bbbc","undefined FUN_0080bbbc(undefined4 param_1)","17"
"_wcsnlen","0080bbcd","size_t _wcsnlen(wchar_t * _Src\, size_t _MaxCount)","31"
"___crtLCMapStringW","0080bbec","int ___crtLCMapStringW(LPCWSTR _LocaleName\, DWORD _DWMapFlag\, LPCWSTR _LpSrcStr\, int _CchSrc\, LPWSTR _LpDestStr\, int _CchDest)","47"
"FUN_0080bc1b","0080bc1b","undefined FUN_0080bc1b(undefined4 param_1\, undefined4 param_2)","18"
"FUN_0080bc2d","0080bc2d","undefined FUN_0080bc2d()","9"
"FUN_0080bc36","0080bc36","undefined FUN_0080bc36(undefined2 param_1\, undefined4 param_2)","86"
"__calloc_impl","0080bc8c","undefined __calloc_impl(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","122"
"FUN_0080bda3","0080bda3","undefined FUN_0080bda3(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","30"
"FUN_0080bdc1","0080bdc1","undefined FUN_0080bdc1(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","29"
"FID_conflict:__vfprintf_s_l","0080bdde","int FID_conflict:__vfprintf_s_l(FILE * _File\, wchar_t * _Format\, _locale_t _Locale\, va_list _ArgList)","30"
"FID_conflict:__vfprintf_s_l","0080bdfc","int FID_conflict:__vfprintf_s_l(FILE * _File\, wchar_t * _Format\, _locale_t _Locale\, va_list _ArgList)","30"
"FUN_0080be1a","0080be1a","undefined FUN_0080be1a(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","29"
"FUN_0080be37","0080be37","undefined FUN_0080be37(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","259"
"FUN_0080bf40","0080bf40","undefined FUN_0080bf40()","8"
"FUN_0080bf48","0080bf48","undefined FUN_0080bf48(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","29"
"FUN_0080bf65","0080bf65","undefined FUN_0080bf65(undefined4 param_1)","16"
"FUN_0080bf75","0080bf75","undefined FUN_0080bf75(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","95"
"FUN_0080bfd4","0080bfd4","undefined FUN_0080bfd4(undefined1 param_1)","33"
"__inc","0080bff5","undefined __inc(undefined4 param_1)","34"
"FUN_0080c017","0080c017","undefined FUN_0080c017(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","4431"
"FUN_0080d166","0080d166","undefined FUN_0080d166(undefined4 param_1)","17"
"__whiteout","0080d177","undefined __whiteout(undefined4 param_1\, undefined4 param_2)","46"
"FUN_0080d1a5","0080d1a5","undefined FUN_0080d1a5(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","95"
"FUN_0080d204","0080d204","undefined FUN_0080d204(undefined1 param_1)","33"
"__inc","0080d225","undefined __inc(undefined4 param_1)","34"
"FUN_0080d247","0080d247","undefined FUN_0080d247(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","4783"
"FUN_0080e4f6","0080e4f6","undefined FUN_0080e4f6(undefined4 param_1)","17"
"__whiteout","0080e507","undefined __whiteout(undefined4 param_1\, undefined4 param_2)","46"
"FUN_0080e540","0080e540","undefined FUN_0080e540(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","23"
"__startOneArgErrorHandling","0080e557","undefined __startOneArgErrorHandling(undefined2 param_1\, undefined param_2\, undefined4 param_3\, undefined4 param_4)","60"
"__load_CW","0080e5b5","undefined __load_CW(undefined4 param_1)","23"
"__convertTOStoQNaN","0080e5cc","undefined __convertTOStoQNaN()","25"
"__fload_withFB","0080e5e5","undefined __fload_withFB()","67"
"FUN_0080e628","0080e628","undefined FUN_0080e628(undefined param_1\, undefined4 param_2)","22"
"FUN_0080e72c","0080e72c","undefined FUN_0080e72c(undefined4 param_1)","219"
"FUN_0080e7f4","0080e7f4","undefined FUN_0080e7f4()","8"
"__CIacos_pentium4","0080e820","undefined __CIacos_pentium4()","24"
"start","0080e83e","undefined start(undefined8 param_1)","1334"
"__CIcos_pentium4","0080ed80","undefined __CIcos_pentium4()","24"
"start","0080ed9e","undefined start()","395"
"__CIsin_pentium4","0080ef30","undefined __CIsin_pentium4()","24"
"start","0080ef4e","undefined start()","425"
"__CIasin_pentium4","0080f100","undefined __CIasin_pentium4()","24"
"start","0080f11e","undefined start(undefined8 param_1)","1378"
"Catch_All@0080f69b","0080f69b","undefined Catch_All@0080f69b()","10"
"__FindPESection","0080f6b0","PIMAGE_SECTION_HEADER __FindPESection(PBYTE pImageBase\, DWORD_PTR rva)","67"
"__IsNonwritableInCurrentImage","0080f700","BOOL __IsNonwritableInCurrentImage(PBYTE pTarget)","164"
"__ValidateImageBase","0080f7c0","BOOL __ValidateImageBase(PBYTE pImageBase)","49"
"FUN_0080f7f1","0080f7f1","undefined FUN_0080f7f1(undefined4 param_1)","13"
"FUN_0080f7fe","0080f7fe","undefined FUN_0080f7fe(undefined4 param_1)","262"
"FUN_0080f904","0080f904","undefined FUN_0080f904(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined1 param_4)","90"
"FUN_0080f95e","0080f95e","undefined FUN_0080f95e(undefined4 param_1)","25"
"FUN_0080f977","0080f977","undefined FUN_0080f977(undefined4 param_1\, undefined4 param_2)","26"
"FUN_0080f991","0080f991","undefined FUN_0080f991(undefined4 param_1)","25"
"FUN_0080f9aa","0080f9aa","undefined FUN_0080f9aa(undefined4 param_1\, undefined4 param_2)","26"
"__ismbbblank","0080f9c4","undefined __ismbbblank(undefined4 param_1)","33"
"__ismbbblank_l","0080f9e5","undefined __ismbbblank_l(undefined4 param_1\, undefined4 param_2)","34"
"FUN_0080fa07","0080fa07","undefined FUN_0080fa07(undefined4 param_1)","25"
"FUN_0080fa20","0080fa20","undefined FUN_0080fa20(undefined4 param_1\, undefined4 param_2)","26"
"FUN_0080fa3a","0080fa3a","undefined FUN_0080fa3a(undefined4 param_1)","22"
"FUN_0080fa50","0080fa50","undefined FUN_0080fa50(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080fa67","0080fa67","undefined FUN_0080fa67(undefined4 param_1)","17"
"FUN_0080fa78","0080fa78","undefined FUN_0080fa78(undefined4 param_1\, undefined4 param_2)","76"
"FUN_0080fac4","0080fac4","undefined FUN_0080fac4(undefined4 param_1)","22"
"FUN_0080fada","0080fada","undefined FUN_0080fada(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080faf1","0080faf1","undefined FUN_0080faf1(undefined4 param_1)","22"
"FUN_0080fb07","0080fb07","undefined FUN_0080fb07(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080fb1e","0080fb1e","undefined FUN_0080fb1e(undefined4 param_1)","22"
"FUN_0080fb34","0080fb34","undefined FUN_0080fb34(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080fb4b","0080fb4b","undefined FUN_0080fb4b(undefined4 param_1)","25"
"FUN_0080fb64","0080fb64","undefined FUN_0080fb64(undefined4 param_1\, undefined4 param_2)","26"
"FUN_0080fb7e","0080fb7e","undefined FUN_0080fb7e(undefined4 param_1)","22"
"FUN_0080fb94","0080fb94","undefined FUN_0080fb94(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080fbab","0080fbab","undefined FUN_0080fbab(undefined4 param_1)","22"
"FUN_0080fbc1","0080fbc1","undefined FUN_0080fbc1(undefined4 param_1\, undefined4 param_2)","23"
"FUN_0080fbd8","0080fbd8","undefined FUN_0080fbd8(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","190"
"FUN_0080fc96","0080fc96","undefined FUN_0080fc96(undefined4 param_1)","130"
"FUN_0080fd1b","0080fd1b","undefined FUN_0080fd1b()","9"
"FUN_0080fd24","0080fd24","undefined FUN_0080fd24()","395"
"FUN_0080fdfc","0080fdfc","undefined FUN_0080fdfc()","9"
"FUN_0080fec4","0080fec4","undefined FUN_0080fec4()","9"
"FUN_0080fecd","0080fecd","undefined FUN_0080fecd(undefined4 param_1)","134"
"FUN_0080ff53","0080ff53","undefined FUN_0080ff53(undefined4 param_1)","103"
"FUN_008100ab","008100ab","undefined FUN_008100ab()","37"
"FUN_008100d0","008100d0","undefined FUN_008100d0(undefined4 param_1\, undefined4 param_2)","130"
"FUN_00810152","00810152","undefined FUN_00810152(undefined4 param_1)","38"
"FUN_00810228","00810228","undefined FUN_00810228(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","51"
"FUN_0081025b","0081025b","undefined FUN_0081025b(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","151"
"FUN_008102f8","008102f8","undefined FUN_008102f8()","44"
"FUN_00810324","00810324","undefined FUN_00810324(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7)","78"
"FUN_00810372","00810372","undefined FUN_00810372(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","30"
"FUN_00810390","00810390","undefined FUN_00810390(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","24"
"FUN_008103a8","008103a8","undefined FUN_008103a8(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","279"
"FUN_008104bf","008104bf","undefined FUN_008104bf(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","24"
"FUN_008104d7","008104d7","undefined FUN_008104d7(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","443"
"__global_unwind2","008106a0","undefined __global_unwind2(undefined4 param_1)","32"
"__local_unwind2","00810705","undefined __local_unwind2(undefined4 param_1\, undefined4 param_2)","132"
"__NLG_Notify1","008107ac","undefined __NLG_Notify1()","9"
"__NLG_Notify","008107b5","void __NLG_Notify(ulong param_1)","31"
"FUN_008107d4","008107d4","undefined FUN_008107d4()","3"
"__getbuf","008107d7","void __getbuf(FILE * _File)","70"
"FUN_0081081d","0081081d","undefined FUN_0081081d(undefined4 param_1)","84"
"FUN_00810871","00810871","undefined FUN_00810871()","3"
"FUN_00810874","00810874","undefined FUN_00810874(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","176"
"FUN_00810924","00810924","undefined FUN_00810924(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","164"
"FUN_008109c8","008109c8","undefined FUN_008109c8(undefined4 param_1\, undefined4 param_2)","21"
"FUN_008109dd","008109dd","undefined FUN_008109dd(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","142"
"FUN_00810a6b","00810a6b","undefined FUN_00810a6b(undefined4 param_1\, undefined4 param_2)","21"
"FUN_00810a80","00810a80","undefined FUN_00810a80(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","24"
"FUN_00810a98","00810a98","undefined FUN_00810a98(undefined4 param_1\, undefined4 param_2)","21"
"FUN_00810aad","00810aad","undefined FUN_00810aad(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","143"
"FUN_00810b3c","00810b3c","undefined FUN_00810b3c(undefined4 param_1\, undefined4 param_2)","200"
"FUN_00810c04","00810c04","undefined FUN_00810c04(undefined1 param_1\, undefined param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","142"
"__alldvrm","00810ca0","undefined __alldvrm(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","223"
"__aullshr","00810d80","undefined __aullshr()","31"
"__set_output_format","00810da5","uint __set_output_format(uint _Format)","50"
"__controlfp_s","00810dd7","errno_t __controlfp_s(uint * _CurrentState\, uint _NewValue\, uint _Mask)","93"
"FUN_00810e3d","00810e3d","undefined FUN_00810e3d(undefined4 param_1)","15"
"FUN_00810e4c","00810e4c","undefined FUN_00810e4c(undefined4 param_1)","15"
"FUN_00810e5b","00810e5b","undefined FUN_00810e5b(undefined4 param_1)","15"
"FUN_00810e6a","00810e6a","undefined FUN_00810e6a(undefined4 param_1)","27"
"FUN_00810e85","00810e85","undefined FUN_00810e85(undefined4 param_1)","27"
"FUN_00810ea0","00810ea0","undefined FUN_00810ea0(undefined4 param_1)","27"
"FUN_00810ebb","00810ebb","undefined FUN_00810ebb(undefined1 param_1)","28"
"FUN_00810ed7","00810ed7","undefined FUN_00810ed7(undefined4 param_1)","27"
"FUN_00810ef2","00810ef2","undefined FUN_00810ef2(undefined1 param_1)","28"
"exception","00810f0e","undefined exception(exception * this\, char * * param_1)","37"
"exception","00810f33","undefined4 * exception(undefined4 * param_1_00\, undefined4 * param_2)","27"
"exception","00810f4e","undefined exception(exception * this\, exception * param_1)","35"
"FUN_00810f71","00810f71","undefined FUN_00810f71()","17"
"FUN_00810fa3","00810fa3","undefined FUN_00810fa3()","11"
"operator=","00810fae","exception * operator=(exception * this\, exception * param_1)","51"
"FUN_00810fe1","00810fe1","undefined FUN_00810fe1(undefined1 param_1)","37"
"FUN_00811006","00811006","undefined FUN_00811006(undefined1 param_1)","37"
"FUN_0081102b","0081102b","undefined FUN_0081102b(undefined1 param_1)","37"
"FUN_00811050","00811050","undefined FUN_00811050(undefined1 param_1)","37"
"FUN_00811075","00811075","undefined FUN_00811075(undefined4 param_1)","62"
"_Tidy","008110b3","void _Tidy(exception * this)","28"
"FUN_008110cf","008110cf","undefined FUN_008110cf()","13"
"__EH_epilog3","008110dc","undefined __EH_epilog3()","20"
"__EH_prolog3_catch","00811177","undefined __EH_prolog3_catch(undefined4 param_1)","54"
"FUN_008111e6","008111e6","undefined FUN_008111e6(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","105"
"DName","00811255","undefined DName(DName * this\, char * * param_1\, char param_2)","185"
