"Name","Location","Function Signature","Function Size"
"FUN_00402330","00402330","undefined FUN_00402330()","16"
"FUN_00402340","00402340","undefined FUN_00402340()","5"
"FUN_00402350","00402350","undefined FUN_00402350(undefined4 param_1)","121"
"FUN_004023d0","004023d0","undefined FUN_004023d0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","39"
"setStackArea","00402400","undefined setStackArea(undefined4 param_1\, undefined4 param_2)","57"
"hkThreadMemory","00402440","undefined hkThreadMemory(undefined4 param_1)","675"
"releaseCachedMemory","004026f0","undefined releaseCachedMemory()","43"
"onRowEmpty","00402720","undefined onRowEmpty(undefined4 param_1)","135"
"onRowFull","004027b0","undefined onRowFull(undefined4 param_1\, undefined4 param_2)","202"
"allocateChunk","00402880","undefined allocateChunk(undefined4 param_1\, undefined4 param_2)","95"
"deallocateChunk","004028e0","undefined deallocateChunk(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","112"
"onStackOverflow","00402950","undefined onStackOverflow(undefined4 param_1)","203"
"onStackUnderflow","00402a20","undefined onStackUnderflow()","51"
"FUN_00402a60","00402a60","undefined FUN_00402a60(undefined4 param_1)","55"
"FUN_00402aa0","00402aa0","undefined FUN_00402aa0(undefined4 param_1\, undefined4 param_2)","40"
"FUN_00402ad0","00402ad0","undefined FUN_00402ad0(undefined4 param_1)","37"
"alignedAllocate","00402b00","undefined alignedAllocate(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","67"
"alignedDeallocate","00402b50","undefined alignedDeallocate(undefined4 param_1)","40"
"FUN_00402bc0","00402bc0","undefined FUN_00402bc0()","15"
"~hkThreadMemory","00402c60","undefined ~hkThreadMemory(undefined1 param_1)","37"
"FUN_00402cd0","00402cd0","undefined FUN_00402cd0()","6"
"FUN_00402ce0","00402ce0","undefined FUN_00402ce0(undefined4 param_1)","67"
"FUN_00402d30","00402d30","undefined FUN_00402d30(undefined4 param_1\, undefined4 param_2)","28"
"FUN_00402d60","00402d60","undefined FUN_00402d60(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","127"
"FUN_00402de0","00402de0","undefined FUN_00402de0(undefined4 param_1\, undefined4 param_2)","152"
"FUN_00402e80","00402e80","undefined FUN_00402e80(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","165"
"FUN_00403110","00403110","undefined FUN_00403110()","54"
"FUN_00403150","00403150","undefined FUN_00403150(undefined4 param_1)","21"
"FUN_00403170","00403170","undefined FUN_00403170(undefined4 param_1)","21"
"FUN_00403190","00403190","undefined FUN_00403190(undefined4 param_1\, undefined4 param_2)","134"
"FUN_00403220","00403220","undefined FUN_00403220(undefined4 param_1\, undefined4 param_2)","141"
"FUN_004032b0","004032b0","undefined FUN_004032b0(undefined4 param_1\, undefined4 param_2)","135"
"FUN_00403340","00403340","undefined FUN_00403340(undefined4 param_1\, undefined4 param_2)","131"
"FUN_004033d0","004033d0","undefined FUN_004033d0(undefined4 param_1\, undefined4 param_2)","126"
"FUN_00403450","00403450","undefined FUN_00403450(undefined4 param_1\, undefined4 param_2)","126"
"FUN_004034d0","004034d0","undefined FUN_004034d0(undefined4 param_1\, undefined4 param_2)","414"
"FUN_00403670","00403670","undefined FUN_00403670(undefined4 param_1\, undefined4 param_2)","500"
"FUN_00403870","00403870","undefined FUN_00403870(undefined4 param_1\, undefined4 param_2)","126"
"FUN_004038f0","004038f0","undefined FUN_004038f0(undefined4 param_1\, undefined4 param_2)","126"
"FUN_00403970","00403970","undefined FUN_00403970(undefined4 param_1\, undefined4 param_2)","135"
"FUN_00403a90","00403a90","undefined FUN_00403a90(undefined4 param_1\, undefined4 param_2)","311"
"FUN_00403bd0","00403bd0","undefined FUN_00403bd0(undefined4 param_1\, undefined4 param_2)","311"
"FUN_00403d10","00403d10","undefined FUN_00403d10(undefined4 param_1\, undefined4 param_2)","414"
"FUN_00403eb0","00403eb0","undefined FUN_00403eb0(undefined4 param_1\, undefined4 param_2)","500"
"FUN_004040e0","004040e0","undefined FUN_004040e0(undefined4 param_1\, undefined4 param_2)","39"
"FUN_004041c0","004041c0","undefined FUN_004041c0()","57"
"FUN_00404200","00404200","undefined FUN_00404200(undefined4 param_1)","70"
"FUN_00404250","00404250","undefined FUN_00404250(undefined4 param_1\, undefined4 param_2)","107"
"FUN_00404350","00404350","undefined FUN_00404350(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","721"
"FUN_004046a0","004046a0","undefined FUN_004046a0(undefined4 param_1)","461"
"FUN_00404870","00404870","undefined FUN_00404870()","357"
"FUN_004049e0","004049e0","undefined FUN_004049e0(undefined4 param_1)","112"
"FUN_00404a50","00404a50","undefined FUN_00404a50(undefined4 param_1)","112"
"FUN_00404ac0","00404ac0","undefined FUN_00404ac0(undefined4 param_1)","103"
"FUN_00404b30","00404b30","undefined FUN_00404b30(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","236"
"FUN_00404c30","00404c30","undefined FUN_00404c30(undefined4 param_1\, undefined4 param_2)","235"
"FUN_00404d20","00404d20","undefined FUN_00404d20(undefined4 param_1\, undefined4 param_2)","243"
"FUN_00404e20","00404e20","undefined FUN_00404e20(undefined4 param_1)","116"
"FUN_00404ea0","00404ea0","undefined FUN_00404ea0(undefined4 param_1)","48"
"FUN_00404ed0","00404ed0","undefined FUN_00404ed0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","248"
"FUN_00405000","00405000","undefined FUN_00405000(undefined4 param_1)","240"
"FUN_00405140","00405140","undefined FUN_00405140(undefined4 param_1)","99"
"FUN_004051b0","004051b0","undefined FUN_004051b0(undefined4 param_1)","96"
"FUN_00405250","00405250","undefined FUN_00405250(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","291"
"FUN_00405380","00405380","undefined FUN_00405380(undefined4 param_1)","149"
"FUN_00405420","00405420","undefined FUN_00405420(undefined4 param_1\, undefined4 param_2)","280"
"FUN_00405540","00405540","undefined FUN_00405540(undefined4 param_1\, undefined4 param_2)","48"
"FUN_00405570","00405570","undefined FUN_00405570(undefined4 param_1\, undefined4 param_2)","371"
"FUN_004056f0","004056f0","undefined FUN_004056f0(undefined4 param_1)","276"
"FUN_00405810","00405810","undefined FUN_00405810(undefined4 param_1\, undefined4 param_2)","48"
"FUN_00405840","00405840","undefined FUN_00405840(undefined4 param_1\, undefined4 param_2)","126"
"FUN_004058c0","004058c0","undefined FUN_004058c0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","254"
"FUN_00405a30","00405a30","undefined FUN_00405a30(undefined4 param_1)","21"
"FUN_00405a60","00405a60","undefined FUN_00405a60()","56"
"FUN_00405ad0","00405ad0","undefined FUN_00405ad0()","266"
"init","00405be0","undefined init(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","286"
"FUN_00405d00","00405d00","undefined FUN_00405d00()","226"
"FUN_00405df0","00405df0","undefined FUN_00405df0()","177"
"FUN_00405eb0","00405eb0","undefined FUN_00405eb0(undefined4 param_1)","72"
"FUN_00405f10","00405f10","undefined FUN_00405f10(undefined4 param_1)","72"
"FUN_00406060","00406060","undefined FUN_00406060()","12"
"FUN_004060e0","004060e0","undefined FUN_004060e0()","8"
"FUN_004060f0","004060f0","undefined FUN_004060f0(undefined1 param_1)","49"
"FUN_00406150","00406150","undefined FUN_00406150(undefined4 param_1\, undefined4 param_2)","22"
"FUN_004061d0","004061d0","undefined FUN_004061d0(undefined1 param_1)","49"
"FUN_00406220","00406220","undefined FUN_00406220()","1"
"FUN_00406240","00406240","undefined FUN_00406240(undefined1 param_1)","49"
"FUN_004062f0","004062f0","undefined FUN_004062f0(undefined4 param_1)","49"
"FUN_004063b0","004063b0","undefined FUN_004063b0()","3"
"FUN_004063c0","004063c0","undefined FUN_004063c0()","1"
"FUN_004063d0","004063d0","undefined FUN_004063d0(undefined1 param_1)","49"
"FUN_00406480","00406480","undefined FUN_00406480(undefined4 param_1)","275"
"FUN_004065a0","004065a0","undefined FUN_004065a0(undefined4 param_1)","213"
"FUN_004066e0","004066e0","undefined FUN_004066e0(undefined4 param_1\, undefined4 param_2)","58"
"FUN_00406720","00406720","undefined FUN_00406720(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","348"
"FUN_004068f0","004068f0","undefined FUN_004068f0(undefined4 param_1)","49"
"FUN_00406930","00406930","undefined FUN_00406930(undefined4 param_1\, undefined4 param_2)","36"
"FUN_00406960","00406960","undefined FUN_00406960(undefined4 param_1\, undefined4 param_2)","29"
"FUN_00406980","00406980","undefined FUN_00406980()","8"
"FUN_00406990","00406990","undefined FUN_00406990(undefined param_1\, undefined4 param_2)","172"
"FUN_00406a50","00406a50","undefined FUN_00406a50(undefined4 param_1)","48"
"FUN_00406a80","00406a80","undefined FUN_00406a80()","5"
"FUN_00406a90","00406a90","undefined FUN_00406a90()","68"
"FUN_00406b20","00406b20","undefined FUN_00406b20(undefined1 param_1)","106"
"FUN_00406e30","00406e30","undefined FUN_00406e30(undefined1 param_1)","32"
"FUN_00406f20","00406f20","undefined FUN_00406f20()","7"
"FUN_00406f30","00406f30","undefined FUN_00406f30(undefined4 param_1\, undefined4 param_2)","127"
"FUN_00406fb0","00406fb0","undefined FUN_00406fb0(undefined4 param_1\, undefined4 param_2)","22"
"FUN_00406fd0","00406fd0","undefined FUN_00406fd0(undefined4 param_1)","58"
"FUN_00407010","00407010","undefined FUN_00407010(undefined4 param_1)","41"
"FUN_00407040","00407040","undefined FUN_00407040(undefined4 param_1)","81"
"FUN_00407080","00407080","undefined FUN_00407080(undefined4 param_1)","21"
"FUN_004070a0","004070a0","undefined FUN_004070a0()","3"
"FUN_004070b0","004070b0","undefined FUN_004070b0()","7"
"FUN_004070c0","004070c0","undefined FUN_004070c0()","7"
"FUN_004070d0","004070d0","undefined FUN_004070d0(undefined4 param_1)","48"
"FUN_00407100","00407100","undefined FUN_00407100(undefined4 param_1)","230"
"FUN_004071f0","004071f0","undefined FUN_004071f0(undefined4 param_1)","123"
"FUN_00407270","00407270","undefined FUN_00407270(undefined4 param_1)","42"
"FUN_004072a0","004072a0","undefined FUN_004072a0(undefined4 param_1)","129"
"FUN_00407330","00407330","undefined FUN_00407330(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","246"
"FUN_00407430","00407430","undefined FUN_00407430(undefined4 param_1\, undefined4 param_2)","102"
"FUN_004074a0","004074a0","undefined FUN_004074a0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","172"
"FUN_00407550","00407550","undefined FUN_00407550(undefined4 param_1\, undefined4 param_2)","93"
"FUN_004075b0","004075b0","undefined FUN_004075b0()","97"
"FUN_00407620","00407620","undefined FUN_00407620(undefined4 param_1\, undefined4 param_2)","483"
"FUN_00407810","00407810","undefined FUN_00407810(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","261"
"FUN_00407920","00407920","undefined FUN_00407920(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","82"
"FUN_00407980","00407980","undefined FUN_00407980()","167"
"FUN_00407a30","00407a30","undefined FUN_00407a30(undefined4 param_1)","82"
"FUN_00407a90","00407a90","undefined FUN_00407a90()","53"
"setMemorySoftLimit","00407ad0","undefined setMemorySoftLimit()","69"
"FUN_00407b20","00407b20","undefined FUN_00407b20()","119"
"FUN_00407ba0","00407ba0","undefined FUN_00407ba0()","207"
"FUN_00407c70","00407c70","undefined FUN_00407c70(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","158"
"FUN_00407d10","00407d10","undefined FUN_00407d10()","458"
"hkFreeListMemory","00407ee0","undefined hkFreeListMemory(undefined4 param_1_00\, undefined4 pServer)","639"
"FUN_00408160","00408160","undefined FUN_00408160(undefined1 param_1)","31"
"FUN_004081b0","004081b0","undefined FUN_004081b0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","220"
"lock","004082f0","void lock(LPCRITICAL_SECTION param_1)","172"
"FUN_004083a0","004083a0","undefined FUN_004083a0(undefined4 param_1)","20"
"FUN_00408460","00408460","undefined FUN_00408460()","67"
"FUN_004084e0","004084e0","undefined FUN_004084e0()","74"
"FUN_00408530","00408530","undefined FUN_00408530()","3"
"FUN_00408540","00408540","undefined FUN_00408540()","5"
"FUN_00408550","00408550","undefined FUN_00408550()","3"
"FUN_00408560","00408560","undefined FUN_00408560()","3"
"FUN_00408580","00408580","undefined FUN_00408580()","11"
"FUN_00408590","00408590","undefined FUN_00408590()","31"
"FUN_004085d0","004085d0","undefined FUN_004085d0(undefined1 param_1)","32"
"FUN_00408600","00408600","undefined FUN_00408600(undefined4 param_1)","48"
"FUN_00408630","00408630","undefined FUN_00408630(undefined4 param_1\, undefined4 param_2)","51"
"FUN_00408670","00408670","undefined FUN_00408670(undefined4 param_1\, undefined4 param_2)","22"
"FUN_00408690","00408690","undefined FUN_00408690()","15"
"FUN_004086a0","004086a0","undefined FUN_004086a0()","4"
"FUN_004086b0","004086b0","undefined FUN_004086b0(undefined4 param_1\, undefined4 param_2)","49"
"FUN_004086f0","004086f0","undefined FUN_004086f0(undefined4 param_1)","19"
"FUN_00408710","00408710","undefined FUN_00408710(undefined4 param_1)","15"
"hkSystemMemoryBlockServer","00408720","undefined hkSystemMemoryBlockServer(undefined4 param_1)","40"
"FUN_00408760","00408760","undefined FUN_00408760(undefined4 param_1)","10"
"FUN_00408770","00408770","undefined FUN_00408770(undefined4 param_1)","10"
"FUN_00408790","00408790","undefined FUN_00408790(undefined1 param_1)","32"
"FUN_004087d0","004087d0","undefined FUN_004087d0()","7"
"thunk_FUN_007f3660","004087e0","thunk undefined thunk_FUN_007f3660(undefined4 param_1\, undefined4 param_2)","5"
"thunk_FUN_007f3648","004087f0","thunk undefined thunk_FUN_007f3648(undefined4 param_1)","5"
"FUN_00408800","00408800","undefined FUN_00408800(undefined4 param_1)","52"
"FUN_00408840","00408840","undefined FUN_00408840(undefined4 param_1)","27"
"FUN_00408860","00408860","undefined FUN_00408860(undefined4 param_1)","10"
"hkMemory","00408870","undefined hkMemory()","31"
"FUN_004088b0","004088b0","undefined FUN_004088b0()","3"
"FUN_004088c0","004088c0","undefined FUN_004088c0()","1"
"FUN_004088d0","004088d0","undefined FUN_004088d0()","1"
"FUN_004088e0","004088e0","undefined FUN_004088e0()","1"
"FUN_004088f0","004088f0","undefined FUN_004088f0()","3"
"FUN_00408900","00408900","undefined FUN_00408900()","3"
"FUN_00408910","00408910","undefined FUN_00408910()","3"
"FUN_00408920","00408920","undefined FUN_00408920()","3"
"FUN_00408930","00408930","undefined FUN_00408930()","3"
"FUN_00408940","00408940","undefined FUN_00408940()","3"
"FUN_00408950","00408950","undefined FUN_00408950(undefined4 param_1)","10"
"FUN_00408960","00408960","undefined FUN_00408960()","8"
"FUN_00408970","00408970","undefined FUN_00408970(undefined1 param_1)","31"
"FUN_004089a0","004089a0","undefined FUN_004089a0(undefined1 param_1)","31"
"FUN_00408a40","00408a40","undefined FUN_00408a40(undefined param_1\, undefined4 param_2)","7"
"FUN_00408a50","00408a50","undefined FUN_00408a50(undefined param_1\, undefined4 param_2)","7"
"FUN_00408a60","00408a60","undefined FUN_00408a60()","7"
"FUN_00408a70","00408a70","undefined FUN_00408a70(undefined4 param_1)","15"
"FUN_00408a80","00408a80","undefined FUN_00408a80()","8"
"FUN_00408a90","00408a90","undefined FUN_00408a90(undefined4 param_1)","10"
"FUN_00408b10","00408b10","undefined FUN_00408b10(undefined4 param_1)","35"
"FUN_00408b40","00408b40","undefined FUN_00408b40()","19"
"FUN_00408b60","00408b60","undefined FUN_00408b60(undefined1 param_1)","49"
"FUN_00408ba0","00408ba0","undefined FUN_00408ba0()","44"
"FUN_00408bf0","00408bf0","undefined FUN_00408bf0(undefined4 param_1)","72"
"FUN_00408c70","00408c70","undefined FUN_00408c70(undefined1 param_1)","26"
"operator<<","00408c90","undefined operator<<(undefined4 param_1)","25"
"FUN_00408cb0","00408cb0","undefined FUN_00408cb0(undefined2 param_1)","73"
"FUN_00408d00","00408d00","undefined FUN_00408d00(undefined2 param_1)","73"
"FUN_00408d50","00408d50","undefined FUN_00408d50(undefined4 param_1)","72"
"FUN_00408da0","00408da0","undefined FUN_00408da0(undefined4 param_1)","72"
"FUN_00408df0","00408df0","undefined FUN_00408df0(undefined4 param_1)","77"
"FUN_00408e40","00408e40","undefined FUN_00408e40(undefined4 param_1\, undefined4 param_2)","80"
"FUN_00408e90","00408e90","undefined FUN_00408e90(undefined4 param_1\, undefined4 param_2)","80"
"FUN_00408ee0","00408ee0","undefined FUN_00408ee0(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","74"
"hkOstream","00408f80","undefined hkOstream(undefined4 param_1)","42"
"~hkErrStream","00408fe0","undefined ~hkErrStream()","53"
"FUN_00409060","00409060","undefined FUN_00409060(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","75"
"FUN_004090b0","004090b0","undefined FUN_004090b0(undefined4 param_1)","67"
"operator<<","00409100","int operator<<(hkErrStream * this\, hkString * param_2)","35"
"FUN_00409160","00409160","undefined FUN_00409160()","1"
"FUN_004091e0","004091e0","undefined FUN_004091e0()","59"
"FUN_00409220","00409220","undefined FUN_00409220(undefined4 param_1\, undefined4 param_2)","92"
"FUN_00409280","00409280","undefined FUN_00409280(undefined4 param_1)","10"
"FUN_00409290","00409290","undefined FUN_00409290(undefined4 param_1)","10"
"FUN_004092a0","004092a0","undefined FUN_004092a0()","4"
"FUN_004092d0","004092d0","undefined FUN_004092d0()","76"
"FUN_00409320","00409320","undefined FUN_00409320(undefined4 param_1\, undefined4 param_2)","135"
"FUN_004094b0","004094b0","undefined FUN_004094b0(undefined1 param_1)","49"
"FUN_004094f0","004094f0","undefined FUN_004094f0(undefined4 param_1\, undefined4 param_2)","164"
"FUN_004095a0","004095a0","undefined FUN_004095a0(undefined1 param_1)","107"
"FUN_00409610","00409610","undefined FUN_00409610(undefined1 param_1)","48"
"FUN_00409640","00409640","undefined FUN_00409640()","37"
"FUN_00409670","00409670","undefined FUN_00409670(undefined1 param_1)","75"
"hkErrStream","004096e0","undefined hkErrStream(undefined4 param_1\, undefined4 param_2)","75"
"FUN_00409810","00409810","undefined FUN_00409810(undefined4 param_1)","89"
"FUN_00409870","00409870","undefined FUN_00409870(undefined1 param_1)","48"
"FUN_004098d0","004098d0","undefined FUN_004098d0(undefined param_1\, undefined4 param_2)","67"
"FUN_00409920","00409920","undefined FUN_00409920(undefined param_1\, undefined param_2\, undefined param_3\, undefined4 param_4\, undefined4 param_5)","65"
"FUN_00409970","00409970","undefined FUN_00409970(undefined param_1\, undefined4 param_2\, undefined4 param_3\, undefined param_4\, undefined4 param_5)","138"
"FUN_00409a00","00409a00","undefined FUN_00409a00(undefined4 param_1)","14"
"FUN_00409a10","00409a10","undefined FUN_00409a10(undefined4 param_1)","19"
"FUN_00409a30","00409a30","undefined FUN_00409a30(undefined param_1\, undefined4 param_2\, undefined4 param_3\, undefined param_4\, undefined4 param_5)","184"
"FUN_00409af0","00409af0","undefined FUN_00409af0(undefined4 param_1)","57"
"FUN_00409b30","00409b30","undefined FUN_00409b30(undefined4 param_1\, undefined param_2\, undefined4 param_3\, undefined param_4\, undefined4 param_5)","93"
"FUN_00409b90","00409b90","undefined FUN_00409b90(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","142"
"FUN_00409c20","00409c20","undefined FUN_00409c20(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","649"
"FUN_00409ee0","00409ee0","undefined FUN_00409ee0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","65"
"FUN_00409fa0","00409fa0","undefined FUN_00409fa0(undefined4 param_1\, undefined param_2\, undefined4 param_3)","116"
"FUN_0040a020","0040a020","undefined FUN_0040a020(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","40"
"FUN_0040a170","0040a170","undefined FUN_0040a170(undefined1 param_1)","17"
"thunk_FUN_007f47ab","0040a190","thunk undefined thunk_FUN_007f47ab(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","5"
"FUN_0040a1a0","0040a1a0","undefined FUN_0040a1a0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined1 param_4)","29"
"FUN_0040a1c0","0040a1c0","undefined FUN_0040a1c0(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","24"
"FUN_0040a1e0","0040a1e0","undefined FUN_0040a1e0(undefined4 param_1\, undefined4 param_2)","45"
"_strncmp","0040a210","thunk int _strncmp(char * _Str1\, char * _Str2\, size_t _MaxCount)","5"
"FUN_0040a220","0040a220","undefined FUN_0040a220(undefined4 param_1\, undefined4 param_2)","78"
"FUN_0040a2d0","0040a2d0","undefined FUN_0040a2d0(undefined4 param_1\, undefined4 param_2)","29"
"FUN_0040a2f0","0040a2f0","undefined FUN_0040a2f0(undefined param_1\, undefined param_2\, undefined4 param_3)","18"
"FUN_0040a310","0040a310","undefined FUN_0040a310(undefined4 param_1)","19"
"FUN_0040a330","0040a330","undefined FUN_0040a330(undefined4 param_1)","18"
"_strstr","0040a370","thunk char * _strstr(char * _Str\, char * _SubStr)","5"
"_strchr","0040a380","thunk char * _strchr(char * _Str\, int _Val)","5"
"_strrchr","0040a390","thunk char * _strrchr(char * _Str\, int _Ch)","5"
"FID_conflict:_memcpy","0040a400","thunk void * FID_conflict:_memcpy(void * _Dst\, void * _Src\, size_t _Size)","5"
"FID_conflict:_memcpy","0040a410","thunk void * FID_conflict:_memcpy(void * _Dst\, void * _Src\, size_t _Size)","5"
"memset","0040a420","thunk void * memset(void * dst\, char param_2\, size_t size)","5"
"FUN_0040a4c0","0040a4c0","undefined FUN_0040a4c0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","158"
"FUN_0040a560","0040a560","undefined FUN_0040a560(undefined4 param_1)","59"
"printf","0040a5f0","void printf(hkString * param_1\, undefined4 param_2)","223"
"FUN_0040a8a0","0040a8a0","undefined FUN_0040a8a0(undefined4 param_1\, undefined4 param_2)","67"
"FUN_0040a940","0040a940","undefined FUN_0040a940(undefined4 param_1\, undefined4 param_2)","83"
"FUN_0040aa00","0040aa00","undefined FUN_0040aa00(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","201"
"FUN_0040ad30","0040ad30","undefined FUN_0040ad30(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","239"
"FUN_0040ae20","0040ae20","undefined FUN_0040ae20(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","334"
"FUN_0040b170","0040b170","undefined FUN_0040b170()","77"
"FUN_0040b3a0","0040b3a0","undefined FUN_0040b3a0(undefined4 param_1\, undefined4 param_2)","241"
"FUN_0040b4a0","0040b4a0","undefined FUN_0040b4a0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","66"
"FUN_0040b510","0040b510","undefined FUN_0040b510()","124"
"FUN_0040b6e0","0040b6e0","undefined FUN_0040b6e0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","1030"
"FUN_0040bb40","0040bb40","undefined FUN_0040bb40(undefined4 param_1)","47"
"FUN_0040bbc0","0040bbc0","undefined FUN_0040bbc0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","850"
"FUN_0040bf20","0040bf20","undefined FUN_0040bf20(undefined4 param_1)","294"
"FUN_0040c050","0040c050","undefined FUN_0040c050(undefined4 param_1\, undefined4 param_2)","135"
"thunk_FUN_0040bf20","0040c100","thunk undefined thunk_FUN_0040bf20(undefined4 param_1)","5"
"FUN_0040c1b0","0040c1b0","undefined FUN_0040c1b0()","51"
"FUN_0040c1f0","0040c1f0","undefined FUN_0040c1f0()","266"
"FUN_0040c300","0040c300","undefined FUN_0040c300(undefined4 param_1)","89"
"FUN_0040c360","0040c360","undefined FUN_0040c360(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","220"
"FUN_0040c490","0040c490","undefined FUN_0040c490(undefined4 param_1)","10"
"FUN_0040c4a0","0040c4a0","undefined FUN_0040c4a0()","76"
"FUN_0040c4f0","0040c4f0","undefined FUN_0040c4f0(undefined4 param_1)","100"
"FUN_0040c560","0040c560","undefined FUN_0040c560(undefined4 param_1\, undefined4 param_2)","117"
"FUN_0040c640","0040c640","undefined FUN_0040c640()","15"
"FUN_0040c940","0040c940","undefined FUN_0040c940(undefined4 param_1\, undefined4 param_2)","55"
"FUN_0040ca50","0040ca50","undefined FUN_0040ca50()","41"
"FUN_0040caf0","0040caf0","undefined FUN_0040caf0(undefined4 param_1\, undefined4 param_2)","60"
"FUN_0040cc90","0040cc90","undefined FUN_0040cc90(undefined4 param_1)","26"
"FUN_0040ccf0","0040ccf0","undefined FUN_0040ccf0(undefined4 param_1\, undefined4 param_2)","117"
"FUN_0040cd70","0040cd70","undefined FUN_0040cd70(undefined4 param_1)","57"
"FUN_0040cdb0","0040cdb0","undefined FUN_0040cdb0(undefined4 param_1\, undefined4 param_2)","69"
"FUN_0040ce40","0040ce40","undefined FUN_0040ce40(undefined4 param_1)","174"
"FUN_0040cf40","0040cf40","undefined FUN_0040cf40(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","222"
"FUN_0040d020","0040d020","undefined FUN_0040d020(undefined4 param_1\, undefined4 param_2)","137"
"FUN_0040d0b0","0040d0b0","undefined FUN_0040d0b0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","162"
"FUN_0040d1a0","0040d1a0","undefined FUN_0040d1a0(undefined4 param_1)","449"
"FUN_0040d370","0040d370","undefined FUN_0040d370(undefined4 param_1)","182"
"FUN_0040d8a0","0040d8a0","undefined FUN_0040d8a0(undefined4 param_1)","86"
"FUN_0040d900","0040d900","undefined FUN_0040d900()","56"
"FUN_0040d940","0040d940","undefined FUN_0040d940()","53"
"FUN_0040d980","0040d980","undefined FUN_0040d980(undefined4 param_1)","41"
"FUN_0040d9b0","0040d9b0","undefined FUN_0040d9b0(undefined4 param_1)","206"
"FUN_0040db30","0040db30","undefined FUN_0040db30()","53"
"FUN_0040dba0","0040dba0","undefined FUN_0040dba0(undefined4 param_1)","225"
"FUN_0040dcd0","0040dcd0","undefined FUN_0040dcd0(undefined4 param_1\, undefined4 param_2)","114"
"FUN_0040dd50","0040dd50","undefined FUN_0040dd50(undefined4 param_1\, undefined4 param_2)","1011"
"FUN_0040e240","0040e240","undefined FUN_0040e240()","142"
"FUN_0040e2d0","0040e2d0","undefined FUN_0040e2d0()","103"
"FUN_0040e340","0040e340","undefined FUN_0040e340(undefined4 param_1\, undefined4 param_2)","124"
"FUN_0040e3c0","0040e3c0","undefined FUN_0040e3c0(undefined4 param_1)","67"
"FUN_0040e410","0040e410","undefined FUN_0040e410(undefined4 param_1)","53"
"FUN_0040e450","0040e450","undefined FUN_0040e450(undefined4 param_1)","16"
"FUN_0040e460","0040e460","undefined FUN_0040e460(undefined4 param_1)","26"
"FUN_0040e480","0040e480","undefined FUN_0040e480()","19"
"FUN_0040e4a0","0040e4a0","undefined FUN_0040e4a0(undefined4 param_1)","22"
"FUN_0040e4c0","0040e4c0","undefined FUN_0040e4c0()","27"
"FUN_0040e4e0","0040e4e0","undefined FUN_0040e4e0()","34"
"FUN_0040e510","0040e510","undefined FUN_0040e510(undefined4 param_1)","62"
"FUN_0040e550","0040e550","undefined FUN_0040e550()","27"
"FUN_0040e570","0040e570","undefined FUN_0040e570(undefined4 param_1\, undefined4 param_2)","56"
"FUN_0040e5b0","0040e5b0","undefined FUN_0040e5b0()","57"
